name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
AIMB LGA INTEL CORE QUAD ATX,ADVANTECH,ATX,False,INTEL CORE QUAD,QUAD CORE,INTEL,Not Available,"DUAL CHANNEL DDR, MAX CAPACITY 4GB","SATA II, MAX DATA TRANSFER RATE 300MB/S","V: 5V, 12V, -12V, 5VSB","['VGA, DVI, ETHERNET, USB, AUDIO, SERIAL, PS/2, INTERNAL CONNECTORS: USB, SERIAL, PARALLEL, SATA, FDD']",Not Available,Not Available,DEPENDS ON CPU SPEED AND COOLER SOLUTION,Not Available,Not Available,"INDUSTRIAL MOTHERBOARD WITH INTEL CORE QUAD PROCESSOR, DUAL CHANNEL DDR, SATA II, AND MULTIPLE I/O PORTS","THE AIMB LGA INTEL CORE QUAD ATX IS AN INDUSTRIAL MOTHERBOARD THAT FEATURES A QUAD CORE PROCESSOR, DUAL CHANNEL DDR WITH A MAXIMUM CAPACITY OF 4GB, AND SATA II WITH A MAXIMUM DATA TRANSFER RATE OF 300MB/S. IT ALSO HAS MULTIPLE I/O PORTS INCLUDING VGA, DVI, ETHERNET, USB, AUDIO, SERIAL, AND PS/2.","THE AIMB LGA INTEL CORE QUAD ATX IS AN INDUSTRIAL MOTHERBOARD THAT FEATURES A QUAD CORE PROCESSOR, DUAL CHANNEL DDR WITH A MAXIMUM CAPACITY OF 4GB, AND SATA II WITH A MAXIMUM DATA TRANSFER RATE OF 300MB/S. IT ALSO HAS MULTIPLE I/O PORTS INCLUDING VGA, DVI, ETHERNET, USB, AUDIO, SERIAL, AND PS/2. THE OPERATING TEMPERATURE DEPENDS ON THE CPU SPEED AND COOLER SOLUTION. THE INPUT VOLTAGE IS 5V, 12V, -12V, 5VSB.",INDUSTRIAL APPLICATIONS
IMBS EXTENDED ATX SERVER BOARD,ADLINK TECHNOLOGY,EATX,False,INTEL XEON,Not Available,INTEL,Not Available,"DDR4, 8 SLOTS, UP TO 64GB",SATA 6GB/S,Not Available,"['USB 2.0 X 4, USB 3.0 X 2, RS232 X 2']",Not Available,"['MICROSOFT WINDOWS SERVER R2 64-BIT', 'MICROSOFT WINDOWS 7 64-BIT', 'REDHAT ENTERPRISE LINUX']",50C,0C,"['CE', 'FCC CLASS A']","IMBS EXTENDED ATX SERVER BOARD WITH DUAL INTEL XEON PROCESSORS, DDR4 MEMORY, SATA 6GB/S STORAGE, AND MULTIPLE I/O INTERFACES.","THE IMBS EXTENDED ATX SERVER BOARD FEATURES DUAL INTEL XEON PROCESSORS, EIGHT MEMORY SOCKETS SUPPORTING DDR4 REGECC/NONECC UP TO 64GB, MULTIPLE PCI EXPRESS SLOTS, AND SATA 6GB/S STORAGE. IT ALSO SUPPORTS IPMI V2.0 REMOTE MANAGEMENT AND IS COMPATIBLE WITH MULTIPLE OPERATING SYSTEMS.","THE IMBS EXTENDED ATX SERVER BOARD IS A HIGH-PERFORMANCE BOARD DESIGNED FOR SERVER APPLICATIONS. IT FEATURES DUAL INTEL XEON PROCESSORS, EIGHT DDR4 MEMORY SOCKETS, MULTIPLE PCI EXPRESS SLOTS, AND SATA 6GB/S STORAGE. THE BOARD ALSO SUPPORTS IPMI V2.0 REMOTE MANAGEMENT, MAKING IT EASY TO MONITOR AND CONTROL THE SYSTEM REMOTELY. IT IS COMPATIBLE WITH MULTIPLE OPERATING SYSTEMS, INCLUDING MICROSOFT WINDOWS SERVER R2 64-BIT, MICROSOFT WINDOWS 7 64-BIT, AND REDHAT ENTERPRISE LINUX.",Server applications
CAPAR Embedded SBC,AXIOMTEK CO LTD,Embedded SBC,Not Available,Intel Core iii Celeron,Not Available,INTEL,cTDP W,DDR SODIMM GB,Not Available,V - V DC,['Not Available'],Not Available,Not Available,C,C,Not Available,"Embedded SBC with th gen Intel Core iii Celeron Processor, DDR SODIMM GB memory, GbE LAN ports, M expansion slots.","The CAPAR Embedded SBC from Axiomtek features a th gen Intel Core iii Celeron Processor, DDR SODIMM GB memory, GbE LAN ports, and M expansion slots. It operates at a cTDP W and has an input voltage of V - V DC. The operating temperature ranges from C to C.","The CAPAR Embedded SBC from Axiomtek is a high-performance board that features a th gen Intel Core iii Celeron Processor, DDR SODIMM GB memory, GbE LAN ports, and M expansion slots. It operates at a cTDP W and has an input voltage of V - V DC. The operating temperature ranges from C to C. It also features a DC Jack for power input and supports Auto Power On function.",Not Available
RASPBERRY PI,RASPBERRY PI TRADING LTD,RASPBERRY PI,False,ARM V8,4,BROADCOM,Not Available,4GB LPDDR4,MicroSD card slot for operating system and data storage,5V DC via USB-C connector,"['2x USB 2.0 ports', '1x USB 3.0 port', '1x Gigabit Ethernet port', '1x 40-pin GPIO header']","['Dual-band 2.4GHz and 5GHz IEEE 802.11.b/g/n/ac wireless LAN', 'Bluetooth 5.0 BLE']",Raspberry Pi OS,50C,0C,Not Available,"Raspberry Pi is a compact keyboard computer with a quad-core processor, wireless networking, dual-display output, and 4K video playback.","Raspberry Pi is a complete personal computer built into a compact keyboard. It features a quad-core 64-bit processor, wireless networking, dual-display output, and 4K video playback. It is ideal for surfing the web, creating and editing documents, watching videos, and learning to program using the Raspberry Pi OS desktop environment.","Raspberry Pi is a complete personal computer built into a compact keyboard. It features a quad-core 64-bit processor, wireless networking, dual-display output, and 4K video playback. It is ideal for surfing the web, creating and editing documents, watching videos, and learning to program using the Raspberry Pi OS desktop environment. It is available in a number of different regional variants, either as a computer kit containing everything you need to get started, except for a TV or monitor, or as a computer unit.","['Surfing the web', 'Creating and editing documents', 'Watching videos', 'Learning to program']"
WAFERAL,IEI,Single Board Computer,False,Intel Pentium N and Intel Celeron N,Quad-core and Dual-core,Intel,TDPW,One 204-pin 1866/1600MHz Single-channel DDR3L DIMMs support 8GB,SATA 6Gb/s,12V DC,"['1 x RS-232', '1 x 10-pin P=2.0', '1 x RS-422/485', '1 x 10-pin P=2.0', '1 x SATA 6Gb/s', '1 x 4-pin (2x2) 5V SATA power connector', '1 x RAID', '1 x USB 2.0', '1 x 10-pin P=2.0', '1 x SMBus/I2C', '1 x SMBus', '1 x 4-pin P=2.0', '1 x TPM', '1 x TPM', '1 x 20-pin']",Not Available,Not Available,60C,-20C,"['CE', 'FCC']","Single Board Computer with Intel Apollo Lake platform, onboard SoC, supports DDR3L memory, SATA 6Gb/s, USB 3.1 Gen 2, PCIe Mini, mSATA, and COM Audio.","The WAFERAL is a Single Board Computer that features the Intel Apollo Lake platform with an onboard SoC. It supports DDR3L memory up to 8GB and has a SATA 6Gb/s interface. The board also supports USB 3.1 Gen 2, PCIe Mini, mSATA, and COM Audio. It has a 12V DC input power and operates between -20C to 60C. The board is CE and FCC compliant.","The WAFERAL is a Single Board Computer that features the Intel Apollo Lake platform with an onboard SoC. It supports DDR3L memory up to 8GB and has a SATA 6Gb/s interface. The board also supports USB 3.1 Gen 2, PCIe Mini, mSATA, and COM Audio. It has a 12V DC input power and operates between -20C to 60C. The board is CE and FCC compliant. It comes with various I/O interfaces including RS-232, RS-422/485, SATA 6Gb/s, USB 2.0, SMBus/I2C, and TPM. The board also features a TPM and supports RAID.",Not Available
DIGITAL SIGNAGE PLAYER DS,ADVANTECH,OPS,False,INTEL CORE,Not Available,INTEL,Not Available,"DDR SODIMM, MAX CAPACITY 16GB","SATAIII, MSATA VIA MINI PCIE",12V - 19V DCIN VIA OPS INTERCONNECTION,"['HDMI, DP, USB, AUDIO OUT, LAN RJ, FULL SIZE MINI PCIE']","WIFI, G LTE","['WINDOWS 7', 'WINDOWS 8', 'WINDOWS 10', 'LINUX']",50C,0C,"['CE', 'FCC CLASS B', 'CCC', 'BSMI', 'UL', 'CB']","DIGITAL SIGNAGE PLAYER WITH INTEL CORE PROCESSOR, DDR SODIMM MEMORY, SATAIII AND MSATA STORAGE, AND WIRELESS CAPABILITIES","THE DIGITAL SIGNAGE PLAYER DS FEATURES A 6TH GENERATION INTEL CORE PROCESSOR, DDR SODIMM MEMORY WITH A MAXIMUM CAPACITY OF 16GB, AND SATAIII AND MSATA STORAGE. IT ALSO HAS WIRELESS CAPABILITIES INCLUDING WIFI AND G LTE. THE DEVICE OPERATES ON A 12V - 19V DC INPUT VOLTAGE AND HAS A RANGE OF IO INTERFACES INCLUDING HDMI, DP, USB, AUDIO OUT, AND LAN RJ. IT SUPPORTS A RANGE OF OPERATING SYSTEMS INCLUDING WINDOWS 7, 8, AND 10, AND LINUX.","THE DIGITAL SIGNAGE PLAYER DS IS A HIGH-PERFORMANCE DEVICE DESIGNED FOR EASY INSTALLATION AND MAINTENANCE. IT FEATURES A 6TH GENERATION INTEL CORE PROCESSOR, DDR SODIMM MEMORY WITH A MAXIMUM CAPACITY OF 16GB, AND SATAIII AND MSATA STORAGE. THE DEVICE ALSO HAS WIRELESS CAPABILITIES INCLUDING WIFI AND G LTE, AND OPERATES ON A 12V - 19V DC INPUT VOLTAGE. IT HAS A RANGE OF IO INTERFACES INCLUDING HDMI, DP, USB, AUDIO OUT, AND LAN RJ, AND SUPPORTS A RANGE OF OPERATING SYSTEMS INCLUDING WINDOWS 7, 8, AND 10, AND LINUX. THE DEVICE IS CERTIFIED BY CE, FCC CLASS B, CCC, BSMI, UL, AND CB.",DIGITAL SIGNAGE
VENICE GW SINGLE BOARD COMPUTER,GATEWORKS,SINGLE BOARD COMPUTER,False,ARM CORTEX-A,4,NXP,Not Available,1 GB LPDDR DRAM,1 GB EMMC SYSTEM FLASH,5 VDC,['Not Available'],"['Wi-Fi', 'Bluetooth']",UBUNTU LINUX,70 C,-40 C,Not Available,"The Venice GW Single Board Computer is a rugged, industrial-grade device featuring a quad-core ARM Cortex-A processor, 1GB of LPDDR DRAM, and 1GB of eMMC system flash. It supports Ubuntu Linux and has a wide operating temperature range.","The Venice GW Single Board Computer is a powerful, versatile device designed for a range of industrial applications. It features a quad-core ARM Cortex-A processor, 1GB of LPDDR DRAM, and 1GB of eMMC system flash. The device supports a wide range of wireless capabilities, including Wi-Fi and Bluetooth, and operates on a 5VDC input voltage. It is designed to operate in a wide temperature range, from -40 C to 70 C, making it suitable for use in a variety of environments. The device also supports Ubuntu Linux.","The Venice GW Single Board Computer is a rugged, industrial-grade device designed for a wide range of applications. It features a quad-core ARM Cortex-A processor, 1GB of LPDDR DRAM, and 1GB of eMMC system flash. The device supports a wide range of wireless capabilities, including Wi-Fi and Bluetooth, and operates on a 5VDC input voltage. It is designed to operate in a wide temperature range, from -40 C to 70 C, making it suitable for use in a variety of environments. The device also supports Ubuntu Linux, and comes with a one-year warranty.",INDUSTRIAL EMBEDDED APPLICATIONS
IB SINGLE BOARD COMPUTER,IBASE,SBC,False,INTEL CORE,Not Available,INTEL,Not Available,"DDR4 SODIMM, MAX 64GB",1X SATA III,12V-24V DC-IN,"['1X RS-232, 4X USB 3.0, 2X USB 2.0, 1X SATA III']",Not Available,Not Available,60C,-20C,"['ROHS', 'EUP/ERP']","The IB Single Board Computer features a 9th Gen Intel Core processor, DDR4 SODIMM memory up to 64GB, and multiple I/O interfaces.","The IB Single Board Computer is a high-performance computing solution featuring a 9th Gen Intel Core processor, DDR4 SODIMM memory up to 64GB, and multiple I/O interfaces including RS-232, USB 3.0, USB 2.0, and SATA III. It supports a 12V-24V DC input voltage and operates within a temperature range of -20C to 60C. The product is RoHS and EuP/ErP compliant.","The IB Single Board Computer is a robust and versatile computing solution designed for a wide range of applications. It is powered by a 9th Gen Intel Core processor and supports DDR4 SODIMM memory up to 64GB. The board features multiple I/O interfaces including RS-232, USB 3.0, USB 2.0, and SATA III, providing ample connectivity options. It operates within a temperature range of -20C to 60C and supports a 12V-24V DC input voltage. The product is RoHS and EuP/ErP compliant, ensuring it meets the highest standards of environmental safety and efficiency.",Not Available
RKCONS,STARTECH.COM,Rackmount,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,AC,"['1 VGA, USB interfaces']",Not Available,Not Available,50 C,0 C,Not Available,"The RKCONS is a single-port rackmount KVM console from StarTech.com. It features a built-in keyboard, touchpad, and a 19-inch LCD display. The console mounts in a server rack or cabinet using 1U of rack space.","The RKCONS is a fully featured, universal 1U LCD KVM Drawer with cables from StarTech.com. It provides centralized control for a PC or server with a KVM switch. The console mounts in a server rack or cabinet using 1U of rack space. It features a built-in keyboard, touchpad, and a 19-inch LCD display that supports resolutions up to 1280x1024. The console includes a VGA KVM Cable, Mounting Rails, M Cage Nuts, and Screws. It is designed to work with KVM switch brands and models and supports VGA and USB interfaces.","The RKCONS is a single-port rackmount KVM console from StarTech.com. It provides centralized control for a PC or server with a KVM switch. The console mounts in a server rack or cabinet using 1U of rack space. It features a built-in keyboard, touchpad, and a 19-inch LCD display that supports resolutions up to 1280x1024. The console includes a VGA KVM Cable, Mounting Rails, M Cage Nuts, and Screws. It is designed to work with KVM switch brands and models and supports VGA and USB interfaces. The console is made of durable steel and is designed to withstand frequent use. It has a power status LED and requires AC input voltage for operation. The console operates at temperatures between 0 C and 50 C.","['Control of single system or dozens of KVM-connected computers', 'Improving internal space efficiency in server cabinet', 'Managing cabinet-mounted servers and KVM switches']"
ESPCAWSExpressLinkDevKit,Espressif Systems Shanghai Co Ltd,Arduino Zero compatible,True,Not Available,Not Available,Not Available,Not Available,Not Available,Embedded flash MB,V DC,['Not Available'],"['WiFi', 'Bluetooth LE']",Not Available,Not Available,Not Available,Not Available,ESPCAWSExpressLinkDevKit is a development board based on ESPCMININA module. It's pin layout is compatible with Arduino Zero development board.,ESPCAWSExpressLinkDevKit is a development board based on ESPCMININA module. It's pin layout is compatible with Arduino Zero development board and can be directly plugged into Arduino Zero or connected to host boards and peripherals via jumpers. The board uses ESPCMININA variant of ESPCMINI and comes with embedded flash MB. It has WiFi and Bluetooth LE capabilities.,ESPCAWSExpressLinkDevKit is a development board based on ESPCMININA module. It's pin layout is compatible with Arduino Zero development board and can be directly plugged into Arduino Zero or connected to host boards and peripherals via jumpers. The board uses ESPCMININA variant of ESPCMINI and comes with embedded flash MB. It has WiFi and Bluetooth LE capabilities. The board is powered by V DC supply and has a power regulator that converts V DC supply to V output. The board also has a USB to UART port for power supply and communication interface with USB devices.,Not Available
AMD FUSION GTN GTN ETX CPU MODULE,ARBOR TECHNOLOGY,ETX,True,AMD G-SERIES,DUAL CORE,AMD,Not Available,"DDR3 SODIMM SOCKET SUPPORTING 1066MHZ SDRAM, UP TO 4GB",SATA 3GB/S W/ RAID,5V,"['4 X USB, 2 X COM PORTS, 1 X IDE, 1 X VGA, 1 X DUAL DVI/HDMI, 1 X DISPLAYPORT, 1 X LVDS']",Not Available,"['WINDOWS STARTER', 'HOME BASIC', 'HOME PREMIUM', 'ELD', 'MEEGO LINUX', 'GOOGLE CHROME']",60C,0C,Not Available,"AMD Fusion GTN GTN ETX CPU Module with dual core processor, DDR3 SODIMM socket supporting 1066MHz SDRAM up to 4GB, SATA 3GB/s w/ RAID, and multiple I/O ports.","The AMD Fusion GTN GTN ETX CPU Module is a high-performance, dual-core processor module with a DDR3 SODIMM socket supporting 1066MHz SDRAM up to 4GB. It features SATA 3GB/s with RAID support for enhanced storage capabilities. The module also offers a variety of I/O ports including 4 USB ports, 2 COM ports, 1 IDE, 1 VGA, 1 Dual DVI/HDMI, 1 DisplayPort, and 1 LVDS. It supports multiple operating systems including Windows Starter, Home Basic, Home Premium, ELD, MeeGo Linux, and Google Chrome.","The AMD Fusion GTN GTN ETX CPU Module is a high-performance, dual-core processor module designed for a wide range of applications. It features a DDR3 SODIMM socket supporting 1066MHz SDRAM up to 4GB and SATA 3GB/s with RAID support for enhanced storage capabilities. The module also offers a variety of I/O ports including 4 USB ports, 2 COM ports, 1 IDE, 1 VGA, 1 Dual DVI/HDMI, 1 DisplayPort, and 1 LVDS. It supports multiple operating systems including Windows Starter, Home Basic, Home Premium, ELD, MeeGo Linux, and Google Chrome. The module operates at a temperature range of 0C to 60C.",Not Available
DPIHAT,D SYSTEMS,RASPBERRY PI HAT,False,ARMv8,4,Broadcom,Not Available,"1GB, 2GB, 4GB or 8GB LPDDR4",Micro SD card slot,POWERED DIRECTLY FROM RASPBERRY PI'S GPIO HEADER,['28'],"2.4 GHz and 5.0 GHz IEEE 802.11b/g/n/ac wireless LAN, Bluetooth 5.0, BLE","['RASPBERRY PI OPERATING SYSTEM', 'RASPBIAN', 'STRETCH']",50ºC,0ºC,Modular compliance certification,THE DPIHAT IS A PRIMARY DISPLAY HAT FOR RASPBERRY PI THAT PLUGS DIRECTLY ON TOP OF THE RASPBERRY PI AND DISPLAYS THE PRIMARY OUTPUT NORMALLY SENT TO HDMI OR COMPOSITE OUTPUT. IT FEATURES AN INTEGRATED RESISTIVE TOUCH PANEL.,"THE DPIHAT IS A PRIMARY DISPLAY HAT FOR RASPBERRY PI THAT PLUGS DIRECTLY ON TOP OF THE RASPBERRY PI AND DISPLAYS THE PRIMARY OUTPUT NORMALLY SENT TO HDMI OR COMPOSITE OUTPUT. IT FEATURES AN INTEGRATED RESISTIVE TOUCH PANEL, ENABLING THE DPIHAT TO FUNCTION WITH THE RASPBERRY PI WITHOUT THE NEED FOR A MOUSE. COMMUNICATION BETWEEN THE DPIHAT AND THE RASPBERRY PI IS INTERFACED THROUGH A HIGH-SPEED 18MHZ SPI CONNECTION. IT USES AN ONBOARD PROCESSOR FOR DIRECT COMMAND INTERPRETATION AND SPI COMMUNICATION COMPRESSION. IT IS DESIGNED TO WORK WITH THE RASPBERRY PI OPERATING SYSTEM AND IS ALSO COMPATIBLE WITH STRETCH.","THE DPIHAT IS A PRIMARY DISPLAY HAT FOR RASPBERRY PI THAT PLUGS DIRECTLY ON TOP OF THE RASPBERRY PI AND DISPLAYS THE PRIMARY OUTPUT NORMALLY SENT TO HDMI OR COMPOSITE OUTPUT. IT FEATURES AN INTEGRATED RESISTIVE TOUCH PANEL, ENABLING THE DPIHAT TO FUNCTION WITH THE RASPBERRY PI WITHOUT THE NEED FOR A MOUSE. COMMUNICATION BETWEEN THE DPIHAT AND THE RASPBERRY PI IS INTERFACED THROUGH A HIGH-SPEED 18MHZ SPI CONNECTION. IT USES AN ONBOARD PROCESSOR FOR DIRECT COMMAND INTERPRETATION AND SPI COMMUNICATION COMPRESSION. IT IS DESIGNED TO WORK WITH THE RASPBERRY PI OPERATING SYSTEM AND IS ALSO COMPATIBLE WITH STRETCH. THE DPIHAT IS POWERED DIRECTLY FROM THE RASPBERRY PI'S GPIO HEADER.","Desktop performance, multimedia performance, connectivity"
ESPS Series Products,Espressif,QFN32 5*5,Not Available,32-bit single-core RISC-V,Single-core,Xtensa,Not Available,400 KB SRAM,"4 MB or none, depending on variants",3.0 - 3.6 V,['Not Available'],"802.11 b/g/n, 2.4 GHz, Bluetooth 5.0",Not Available,105 °C,-40 °C,Not Available,The ESPS Series Products from Espressif feature a USB On-The-Go (OTG) interface that complies with the USB specification. It supports downloading firmware via the USB module.,"The ESPS Series Products are equipped with a USB On-The-Go (OTG) interface that complies with the USB specification. They support downloading firmware via the USB module. For ESPS series chips manufactured before a certain date code, the USBOTG Download function is unavailable by default. However, for those manufactured after, the function can be enabled by the user.","The ESPS Series Products are designed with a USB On-The-Go (OTG) interface that adheres to the USB specification. This interface supports the downloading of firmware via the USB module. For ESPS series chips manufactured before a certain date code, the USBOTG Download function is unavailable by default. However, for those manufactured after, the function can be enabled by the user. The product also includes security features to protect firmware from unauthorized access and malicious attacks.","Smart Home, Industrial Automation, Health Care, Consumer Electronics, Smart Agriculture, Retail and Catering, Audio Device, Generic Low-power IoT Sensor Hubs, Generic Low-power IoT Data Loggers"
HUMMINGBOARD RZGLC,SOLIDRUN,SBC,False,ARM,2,RENESAS,Not Available,UP TO 1 GB DDR,FROM 1 GB EMMC,5V - 12V,"['1 X USB', '1 X MIPICSI', '1 X ETHERNET RJ', '1 X MICRO HDMI', '1 X MICRO USB']","['WIFI ABGN', 'BLUETOOTH BT BREDRLE']",LINUX,85 C,-40 C,Not Available,"The HummingBoard RZGLC is a single/dual core SBC with up to 1GB DDR memory and from 1GB eMMC storage. It supports Linux OS and has a range of IO including USB, MIPICSI, Ethernet RJ, Micro HDMI and Micro USB.","The HummingBoard RZGLC is a powerful and versatile single/dual core SBC. It features up to 1GB DDR memory and from 1GB eMMC storage. The board supports Linux OS and has a range of IO including USB, MIPICSI, Ethernet RJ, Micro HDMI and Micro USB. It also has wireless capabilities with WiFi abgn and Bluetooth BT BREDRLE. The board operates at a temperature range of -40 C to 85 C.","The HummingBoard RZGLC is a single/dual core SBC manufactured by SolidRun. It is powered by a Renesas RZGLC dual core Arm Cortex A processor. The board features up to 1GB DDR memory and from 1GB eMMC storage. It supports Linux OS and has a range of IO including USB, MIPICSI, Ethernet RJ, Micro HDMI and Micro USB. It also has wireless capabilities with WiFi abgn and Bluetooth BT BREDRLE. The board operates at a temperature range of -40 C to 85 C and requires an input voltage of 5V - 12V.","HMI Applications, IoT Applications, Industrial Automation, Building Automation, Doorbell System, POS System, Medical Display, Digital Signage, Solar Inverter, Secure Gateway, EV Charger, Industrial Gateway, Infra Sensing Gateway, Agriculture Gateway"
XTEND SPECIFICATIONS LPC DEVELOPMENT KIT,NXP SEMICONDUCTORS,LQFP64,True,ARM,2,NXP SEMICONDUCTORS,Not Available,64MB SDRAM,64MB NAND Flash,1.62 V to 3.6 V,"['UARTs', 'I2C', 'SPI', '32-bit ADC', 'General Purpose IO pins']","['WiFi', 'Bluetooth']",['Linux'],+105 °C,-40 °C,Not Available,The LPC Development Kit provides a stable platform for building powerful user applications within an ARM Linux environment. It supports popular mobile technologies making it an ideal development target for consumer communications software.,"The LPC Development Kit is a powerful platform for building user applications within an ARM Linux environment. It supports popular mobile technologies such as WiFi and Bluetooth, and comes with a variety of hardware drivers, allowing developers to focus on building and improving user interface applications without worrying about low-level hardware functionality.","The LPC Development Kit is a powerful platform for building user applications within an ARM Linux environment. It supports popular mobile technologies such as WiFi and Bluetooth, and comes with a variety of hardware drivers, allowing developers to focus on building and improving user interface applications without worrying about low-level hardware functionality. The kit includes everything you need to get started, including a LPC Board, LCD Keypad Board, Operating System Images, Users Manual, Power Supply, and RS Debug Cable.",['Consumer communications software development']
RASPBERRY PI ZERO W COLOUR CODED SOLDERED HEADER,RASPBERRY PI FOUNDATION,RASPBERRY PI,False,ARM,Single-core,BROADCOM,Not Available,512 MB RAM,SD card slot,5V,['40-pin GPIO'],"['Wireless LAN', 'Bluetooth']","['NOOBS', 'Raspbian']",Not Available,Not Available,"['Electromagnetic Compatibility Directive (EMC) 2014/30/EU', 'Restriction of Hazardous Substances (RoHS) Directive 2011/65/EU']","The Raspberry Pi Zero W is a mini computer with wireless LAN and Bluetooth capabilities, perfect for embedded Internet of Things projects.","The Raspberry Pi Zero W is a low-cost, low-power mini computer with wireless LAN and Bluetooth capabilities. It features a 1GHz Broadcom BCM single-core processor, 512MB RAM, and a micro USB port for power supply. It is compatible with existing HATs and has composite video and reset headers, a CSI Camera Connector, and a 40-pin GPIO connector.","The Raspberry Pi Zero W is a mini computer with wireless LAN and Bluetooth capabilities. It features a 1GHz Broadcom BCM single-core processor, 512MB RAM, and a micro USB port for power supply. It is compatible with existing HATs and has composite video and reset headers, a CSI Camera Connector, and a 40-pin GPIO connector. It requires an SD card with a fresh image installed for booting.",['Internet of Things projects']
ARKCCH,ADVANTECH,"Pocket-Size, Small-Size, Regular-Size",Not Available,"Intel Atom, Intel Celeron, Intel Core","Single Core, Dual Core, Quad Core",INTEL,Not Available,4GB,"64G eMMC 5.1, M.2 SSD",DC V,['2 IO'],"Wi-Fi, LTE & GPS expansion","Windows 10 IoT Enterprise LTSC 2021, Ubuntu, RHEL, WR Linux, Yocto Project (LTS kernel 2021), Celadon CiV (Android optimized for IA)",70°C/158°F,-40°C/-40°F,PSE Mark,"Advantech's range of products includes pocket-size, small-size, and regular-size form factors with Intel Atom, Celeron, and Core processors. They offer onboard storage options, wireless capabilities, and operate in a wide temperature range.",Not Available,Not Available,"Machine Control Visualization, Data Analytics, Protocol Conversion, IoT Edge Gateways, Compact Embedded Computers"
RACKG U SLOT FULLSIZE RACKMOUNT CHASSIS,IEI,Fullsize slot,False,Not Available,Not Available,Not Available,Not Available,Not Available,HDD included,Not Available,"['2 USB ports, 2 reset buttons']",Not Available,Not Available,50 C,0 C,['RoHS'],"The RACKG U slot Fullsize Rackmount Chassis is a RoHS compliant design with two USB ports on the front panel, dual reset buttons for dual systems, and two cm cooling fans with replaceable fan filters. It has a lockable door to prevent unauthorized access.","The RACKG U slot Fullsize Rackmount Chassis is a heavy-duty metal construction with full-size slot CPU card. It features various drive combinations, cooling fans, IO Ports, and expansion slots. It has indicators for power and HDD. The operating temperature ranges from 0 C to 50 C. It is available in white and black colors.","The RACKG U slot Fullsize Rackmount Chassis is a heavy-duty metal construction with full-size slot CPU card. It features various drive combinations, cooling fans, IO Ports, and expansion slots. It has indicators for power and HDD. The operating temperature ranges from 0 C to 50 C. It is available in white and black colors. It supports single PS PSU. For IEI PSU models, please refer to the section or visit www.ieiworld.com.",Not Available
HAIIC MICA USB,HARTING IT SOFTWARE DEVELOPMENT GMBH CO KG,USB,Commercialization,ARM,Not Available,ARM,Not Available,"1 GB RAM, 4 GB eMMC",Up to 32 GB Flash via Micro SD Card,9V DC - 30V DC,['Ethernet TCPIP 10/100 Mbits'],No,Linux,+75 °C,-25 °C,"['EN', 'CE']","HAIIC MICA USB is a robust industrial device with 1GB RAM, 4GB eMMC, and up to 32GB Flash via Micro SD Card. It operates on Linux and is designed for harsh industrial environments.","HAIIC MICA USB is a robust industrial device designed for harsh environments. It is tested according to industry and railway standards and is ready for software customisation. It features a 1GHz ARM processor, 1GB RAM, 4GB eMMC, and up to 32GB Flash via Micro SD Card. It operates on Linux and can be mounted on a DIN rail or wall. It has LEDs for device status visualisation and operates on a supply voltage of 9V DC - 30V DC. It has an Ethernet TCPIP 10/100 Mbits interface.","HAIIC MICA USB is a robust industrial device designed for harsh environments. It is tested according to industry and railway standards and is ready for software customisation. It features a 1GHz ARM processor, 1GB RAM, 4GB eMMC, and up to 32GB Flash via Micro SD Card. It operates on Linux and can be mounted on a DIN rail or wall. It has LEDs for device status visualisation and operates on a supply voltage of 9V DC - 30V DC. It has an Ethernet TCPIP 10/100 Mbits interface. The device is RoHS compliant and has EN and CE certifications.","Industrial environment, Railway standards"
QSEVEN STANDARD MODULE NXP IMX PROCESSOR,SECO,Qseven,False,ARM Cortex A,Up to 4,NXP,Not Available,Up to 4GB DDRL,Up to 64GB eMMC drive soldered onboard,5VDC,"['1 x USB OTG interface', '2 x USB Host interfaces', '1 x PCIe x1 lane', '1 x IS AC Audio interface', '2 x Serial ports TTL interface', '1 x CAN port interface']",Not Available,Linux Yocto,85C,-40C,Not Available,"Qseven standard module with NXP iMX Processor, up to 4GB DDRL memory, up to 64GB onboard eMMC storage, and operating temperature range of -40C to 85C.","The Qseven standard module features an NXP iMX Processor with up to 4 cores, up to 4GB DDRL memory, and up to 64GB onboard eMMC storage. It supports Linux Yocto operating system and has an operating temperature range of -40C to 85C. The module also includes various I/O interfaces such as USB, PCIe, audio, serial ports, and CAN port.","The Qseven standard module is a high-performance embedded system module featuring an NXP iMX Processor with up to 4 cores, up to 4GB DDRL memory, and up to 64GB onboard eMMC storage. It supports Linux Yocto operating system and has an operating temperature range of -40C to 85C. The module also includes various I/O interfaces such as USB, PCIe, audio, serial ports, and CAN port. It is suitable for applications in automation, biomedical, medical devices, HMI PDA, electronics, and wireless technologies.","['Automation', 'Biomedical', 'Medical devices', 'HMI PDA', 'Electronics', 'Wireless Technologies']"
