name,ids,manufacturer,form_factor,processor,core_count,processor_tdp,memory,io,operating_system,environmentals,certifications,short_summary,full_summary,full_product_description
TXP iMX8M Plus,TX8P-SV80,KaRo Electronics,82 mm x 50 mm x 4.2 mm,NXP i.MX8M Plus Quad ARM Cortex-A53,4,Not available,"4 GB LPDDR4 SDRAM, 16 GB eMMC","2x Ethernet, 2x USB 3.0, 2x USB 2.0, 4x UART, 2x I2C, 2x SPI, 2x CAN-FD, PCIe Gen 3",Linux,"Industrial Grade, -40°C to 85°C",Not available,"TXP iMX8M Plus is a powerful quad-core ARM Cortex-A53 based computer module designed for machine learning, vision, and industrial IoT applications.","The TXP iMX8M Plus is a high-performance computer module featuring a quad-core ARM Cortex-A53 processor running at 1.8 GHz, integrated with a neural processing unit (NPU) delivering 2.3 TOPS. It supports advanced multimedia, machine learning, and vision applications, making it ideal for smart homes, smart cities, and industrial IoT.","The TXP iMX8M Plus from KaRo Electronics is a versatile computer module designed for a wide range of applications including machine learning, vision, and industrial IoT. It features a powerful NXP i.MX8M Plus quad-core ARM Cortex-A53 processor running at 1.8 GHz, integrated with a neural processing unit (NPU) delivering 2.3 TOPS. The module includes 4 GB LPDDR4 SDRAM and 16 GB eMMC storage. It supports multiple display interfaces such as LVDS, MIPI-DSI, and HDMI, and offers extensive connectivity options including 2x Ethernet, 2x USB 3.0, 2x USB 2.0, 4x UART, 2x I2C, 2x SPI, 2x CAN-FD, and PCIe Gen 3. The TXP iMX8M Plus is designed for industrial-grade applications with an operating temperature range of -40°C to 85°C."
TXUL,TXUL-5011,KaRo Electronics GmbH,67.6 mm x 26 mm SODIMM,ARM Cortex-A7 based NXP i.MX 6UltraLite,Single core,Not available,512 MB 16-bit DDR3 SDRAM,"2x 10/100 Mbps Ethernet, 2x High Speed USB, Up to 7x UART, 2x I2C, 2x SPI, 2x CAN, 2x 12-bit ADC, LCD, CSI, SDIO","Linux, Windows Embedded Compact",Industrial grade -40°C to 85°C,Not available,"TXUL is a high-performance, ultra-efficient computer module featuring the ARM Cortex-A7 based NXP i.MX 6UltraLite processor.","The TXUL Computer Module expands the i.MX series with the i.MX 6UltraLite, a high-performance, ultra-efficient processor family featuring a single ARM Cortex-A7 core operating at speeds up to 696 MHz. It provides a cost-effective, power-efficient solution with hardware-enabled security features for secure e-commerce, DRM, and information encryption.","The TXUL Computer Module from KaRo Electronics features the ARM Cortex-A7 based NXP i.MX 6UltraLite processor, offering high performance and ultra efficiency. It includes 512 MB of 16-bit DDR3 SDRAM, 512 MB NAND Flash, and 4 GB eMMC. The module supports a wide range of interfaces including 2x 10/100 Mbps Ethernet, 2x High Speed USB, up to 7x UART, 2x I2C, 2x SPI, 2x CAN, 2x 12-bit ADC, LCD, CSI, and SDIO. It operates in industrial temperature ranges from -40°C to 85°C and supports Linux and Windows Embedded Compact operating systems. The TXUL is designed for secure applications with features like secure boot, hardware-enabled security, and on-the-fly DRAM encryption."
Tank Aiot Dev Kit,TANK-870AI-I5KBLslash8Gslash2A-R11,IEI,WxDxH 255 x 188 x 85.6 mm,"Intel Xeon E-2124L 2.2GHz, Intel Core i7-8700T 2.4GHz, Intel Core i5-8500T 2.1GHz, Intel Core i3-8100T 3.1GHz",Quad Core,"25W, 35W",8GB DDR4 preinstalled,"USB 3.1 Gen 1, USB 2.0, Ethernet, RJ-45 LAN, COM Port, VGA, HDMI/DP, Audio, Digital IO",Ubuntu 18.04 LTS,"Operating Temperature: -20°C to 60°C (Xeon E-2124L), -20°C to 70°C (Core i7-8700T, Core i5-8500T, Core i3-8100T)","CE, FCC, RoHS","The TANK AIoT Dev Kit is a ruggedized embedded system featuring Intel processors, rich I/O interfaces, and preinstalled AI toolkits for AI and IoT applications.","The TANK AIoT Dev Kit is designed for AI and IoT applications, featuring Intel Xeon and Core processors, rich I/O interfaces, dual PCIe x4 signals, and preinstalled AI toolkits including OpenVINO and Intel Media SDK. It supports various expansion cards and offers high flexibility for hardware expansion.","The TANK AIoT Dev Kit is a ruggedized embedded system designed for AI and IoT applications. It features Intel Xeon E-2124L and Core i7-8700T, i5-8500T, i3-8100T processors, rich I/O interfaces including USB 3.1 Gen 1, USB 2.0, Ethernet, RJ-45 LAN, COM Port, VGA, HDMI/DP, and Audio. The system supports dual PCIe x4 signals for expansion cards like Mustang-F100-A10 and Mustang-V100-MX8. It comes preinstalled with Ubuntu 18.04 LTS, OpenVINO toolkit, and Intel Media SDK. The system is built with extruded aluminum alloys, ensuring durability and reliability in harsh environments with operating temperatures ranging from -20°C to 70°C. Certifications include CE, FCC, and RoHS."
Tetra,VL-EPC-2700-EDK-02B,VersaLogic,95 x 125 x 15 mm,NXP i.MX Cortex-A9,Quad-core,4W,"Up to 4 GB DDR3L soldered-on memory, 64 KB Magnetic RAM, Up to 64 GB eMMC","Gigabit Ethernet, USB, CAN Bus, HDMI, LVDS, Mini PCIe, SATA, MicroSD, Audio I/O, SPI, I2C, GPIO, PWM, MIPI camera input","Linux, Android","Operating Temperature: -40°C to 85°C, Storage Temperature: -40°C to 85°C, Vibration: MIL-STD-810G, Shock: MIL-STD-810G","RoHS, EU Conflict Minerals compliant","The Tetra is a rugged, ARM-based single board computer designed for demanding applications, featuring a quad-core i.MX CPU, extensive I/O options, and support for Linux and Android.","The Tetra single board computer is a complete ARM-based embedded computer featuring a power-efficient quad-core i.MX CPU. It is designed for demanding applications requiring rugged, power-efficient solutions with long-term availability. The Tetra is built around an industry-standard COM Express footprint, simplifying installation and future upgrades. It includes onboard soldered RAM and is ready to power up and run. The Tetra provides connectivity via Gigabit Ethernet, USB, CAN Bus, HDMI, and LVDS video support, and includes a Mini PCIe socket for expandability.","The Tetra single board computer is a complete ARM-based embedded computer featuring a power-efficient quad-core i.MX CPU. All models are delivered tested and ready for deployment. They are ideal for demanding applications that require rugged, power-efficient solutions with long-term availability. Unlike proprietary formats, the Tetra is designed around an industry-standard COM Express footprint with mounting points, simplifying installation and future upgrades. The Tetra is a complete board-level computer, requiring no additional carrier boards or connector boards for I/O expansion. Tetra boards are delivered with onboard soldered-on RAM and are ready to power up and run. Like all VersaLogic products, the Tetra SBC is engineered to be rugged. It is designed and validated for operation in unforgiving environments, including high temperature, mechanical shock, and vibration. The Tetra embedded computer provides connectivity via Gigabit Ethernet, USB, CAN Bus interface, as well as HDMI and LVDS video support. It also includes a Mini PCIe socket for expandability, I2C port, MIPI camera input, audio I/O, SPI, 3-axis accelerometer, and magnetometer. VersaLogic delivers extremely reliable standard and customized embedded computers backed by unsurpassed service and the highest availability in the market. VersaLogic exists to exceed customers' needs whenever and wherever they arise."
Thermocouple DAQ HAT,6069-410-002,Measurement Computing,65 x 56.5 x 12 mm,Not available,Not available,Not available,Non-volatile memory 32 KB,"GPIO, SPI",Linux,"Operating temperature: -40°C to 85°C, Storage temperature: -40°C to 105°C, Relative humidity: 0-90% non-condensing",Not available,"The MCC Thermocouple DAQ HAT is a hardware add-on for Raspberry Pi, providing four isolated thermocouple inputs with cold junction compensation and linearization.","The MCC Thermocouple DAQ HAT is designed for use with the Raspberry Pi, offering four isolated thermocouple inputs, cold junction compensation, and linearization. It supports multiple thermocouple types and can be stacked up to eight HATs on a single Raspberry Pi. The device is powered through the Raspberry Pi GPIO header and supports Linux operating systems with an open-source library available on GitHub.","The MCC Thermocouple DAQ HAT is a versatile add-on board for the Raspberry Pi, providing four isolated thermocouple inputs with 24-bit ADC resolution. It supports thermocouple types J, K, R, S, T, N, E, and B, with cold junction compensation and linearization. The HAT can be stacked up to eight units on a single Raspberry Pi, allowing for extensive thermocouple measurement capabilities. The device is powered through the Raspberry Pi GPIO header and supports Linux operating systems. An open-source MCC DAQ HAT Library is available on GitHub, providing comprehensive API and example programs in C/C++ and Python. The HAT is designed to minimize noise and provide protection in harsh electrical environments, making it suitable for a wide range of applications."
Thin MiniITX Motherboard,"iTXL-Q370A,iTXL-3350A",GIGAIPC,"Thin MiniITX, 170mm x 170mm","Intel Core, Intel Pentium, Intel Celeron",4,35W,"DDR4, up to 32GB","2x GbE LAN, 1x HDMI, 1x DP, 1x LVDS, 4x USB 3.0, 2x USB 2.0, 1x SATA 6Gb/s, 1x PCIe x4, 1x M.2 M-Key, 1x M.2 E-Key",Windows 10,"Operating temperature: 0°C to 60°C, Operating humidity: 10% to 90% non-condensing","FCC, China RoHS","Thin MiniITX motherboard supporting Intel processors, DDR4 memory, and various I/O interfaces.","The Thin MiniITX motherboard iTXLQAMQATSI by GIGAIPC supports 8th and 9th generation Intel Core, Pentium, and Celeron processors. It features DDR4 memory support up to 32GB, multiple I/O interfaces including HDMI, DP, LVDS, USB, and SATA, and is compatible with Windows 10. The motherboard is designed for a wide range of applications with operating temperatures from 0°C to 60°C.","The Thin MiniITX motherboard iTXLQAMQATSI by GIGAIPC is designed to support 8th and 9th generation Intel Core, Pentium, and Celeron processors with a TDP of 35W. It includes two DDR4 SODIMM sockets supporting up to 32GB of system memory in a dual-channel architecture. The motherboard offers a variety of I/O interfaces including 2x GbE LAN ports, 1x HDMI port, 1x DP port, 1x LVDS port, 4x USB 3.0 ports, 2x USB 2.0 ports, 1x SATA 6Gb/s port, 1x PCIe x4 slot, 1x M.2 M-Key slot, and 1x M.2 E-Key slot. It is compatible with Windows 10 and operates within a temperature range of 0°C to 60°C with a non-condensing humidity range of 10% to 90%. The motherboard is FCC and China RoHS certified, ensuring compliance with safety and environmental standards."
ThingMagic ELe,PLT-RFID-EL6E-USB-DEVKIT,JADAK,Smallest form factor on the market,ARM Cortex-M,Not available,Not available,Not available,"USB, Serial RS, SPI, I2C, GPIO",Not available,"Operating Temperature: -20°C to 70°C, Storage Temperature: -40°C to 85°C, Vibration: 5-500 Hz, 1.5g acceleration","FCC Part 15, Canada RSS-210, EU ETSI EN 302 208, RED, FCC Class A, IEC/UL, RoHS, REACH","Highly integrated UHF RFID reader based on ThingMagic Nano module, supporting RAIN RFID technology.","ThingMagic ELe is a highly integrated UHF RFID reader built around the proven ThingMagic Nano module. It features an ARM Cortex-M architecture and supports various interfaces including USB, Serial RS, SPI, and I2C. The module is designed for easy integration into embedded RFID OEM designs, supporting autonomous workflows and RAIN RFID technology standards.","The ThingMagic ELe is an embedded UHF RFID reader module based on the ThingMagic Nano module. It features an ARM Cortex-M processor and supports multiple interfaces such as USB, Serial RS, SPI, and I2C. The module is designed for easy integration into OEM designs requiring mid to short-range read distances. It supports autonomous workflows, allowing rapid solution creation without RFID expertise. The ELe is among the first products to support the new developer-friendly RAIN Communication Interface (RCI). It comes preloaded with a selection of autonomous workflows for common use cases, enabling operation without the need for custom application interfaces. The module is highly configurable and can be customized for unique applications. It is ideally suited for scenarios such as bulk-reading small sets of items, reading specific items at longer ranges, and final item verification in inventory and returns processing. The ELe supports EPCglobal Gen2V2 and ISO 18000-63 protocols and offers adjustable RF power output. It is certified for various regulatory standards including FCC, ETSI, and RED, and meets environmental standards such as RoHS and REACH."
ThingMagic ME HFLF RFID Secure Module,PLT-RFID-M3E-DEVKIT,JADAK,embedded module,Not available,Not available,Not available,Not available,"UART TTL, IC SPI, GPIO bidirectional TTL",Not available,"Operating Temp: -40°F to 185°F (-40°C to 85°C), Relative Humidity: 5% to 95% RH non-condensing, Vibration: 3g acceleration 10-500Hz, Shock: 40g","FCC Class B, Industrie Canada IC, RED EU CE, ROHS, REACH, WEEE",Compact embedded module supporting HF and LF RFID protocols with secure access features.,"The ThingMagic ME HFLF RFID Secure Module is a compact embedded module that supports High Frequency (HF) and Low Frequency (LF) RFID protocols. It is designed for secure access applications and offers high performance with long read range. The module is precertified with high gain antennas and provides full modular certification, reducing regulatory filing requirements for OEMs. It supports a broad range of HF and LF transponders and includes an integrated Secure Access Module (SAM).","The ThingMagic ME HFLF RFID Secure Module is part of the Secure Access family of products by JADAK. This compact embedded module supports both High Frequency (HF) and Low Frequency (LF) RFID protocols, making it ideal for secure access applications. It can handle complex HF RFID tag interactions and read HF and LF ID cards to authenticate personnel across various security environments. The module drives high gain HF and LF antennas to achieve extended read ranges and is precertified with high gain antennas. Additionally, it provides full modular certification, reducing the regulatory burden for OEMs and offering flexibility in choosing the best-suited antenna for the application. The ME platform uses the Mercury API from JADAK's ThingMagic products, allowing easy software integration and customization. It is flexible enough to allow OEMs to tailor licenses to enable features of interest in the field. Ideal applications include nurses' carts, medication dispensing, patient monitoring, blood tracking, inventory cabinets, infusion pumps, pneumatic systems, transport, ultrasound machines, and point-of-care IVD analyzers. The module supports all leading HF RFID protocols, including ISO 15693, ISO 14443A, and MIFARE, and offers a compact footprint with a broad range of HF and LF transponder support."
ThingMagic MEMEGA UHF RAIN RFID Module,M7E-MEGA-DEVKIT,JADAK,"embedded, small form-factor",Impinj E RAIN RFID Reader Chip,Not available,Not available,Not available,"UART control data interfaces, GPIO sensors indicators",Not available,"Operating Temp: -40°C to +85°C case temperature, Storage Temp: -40°C to +85°C, Shock Vibration: Survives 1 meter drop handling","USA FCC CFR Ch Part 15, Canada Industry Canada RSS-210, EU ETSI EN 302 208 v2.1.1, RED EU, JAPAN MIC Article 2 Section 9","ThingMagic MEMEGA is a small, high-performance embedded UHF RAIN RFID module with powerful performance and low power consumption.","ThingMagic MEMEGA is one of the smallest high-performance embedded UHF RAIN RFID modules. It delivers the size, operating efficiency, and power flexibility needed for UHF RFID applications where a small form factor is important. It features low power consumption, wide RF output level range, and easy integration with demanding applications.","ThingMagic MEMEGA is a high-performance embedded UHF RAIN RFID module designed for applications requiring a small form factor. It features an Impinj E RAIN RFID Reader Chip, supports EPCglobal Gen2V2 and ISO 18000-63 protocols, and is preconfigured for multiple regions including FCC, ETSI, TRAI, KCC, ACMA, SRRC/MII, and MIC. The module offers UART control data interfaces, GPIO sensors indicators, and operates within a temperature range of -40°C to +85°C. It is suitable for handheld devices, scanners, battery-operated RFID-enabled printers, desktop and portable tag commissioning stations, point of sale devices, smartphone accessories, and medical cabinets."
ThingMagic MEPICO UHF RAIN RFID Module,M7E-PICO-DEVKIT,JADAK,Small Surface Mount Technology (SMT) Form Factor,Impinj E RAIN RFID Reader Chip,Not available,Not available,Not available,"UART, GPIO, Sensors, Indicators",ThingMagic Mercury API,"Operating Temperature: -40°C to +85°C, Storage Temperature: -40°C to +85°C, Shock/Vibration: Survives 1-meter drop handling","USA FCC CFR Ch Part 15, Canada Industry Canada RSS-210, EU ETSI EN 302 208 v3.1.1, RED EU, JAPAN MIC Article 2 Section 1","The ThingMagic MEPICO is the industry's smallest embedded UHF RAIN RFID module, ideal for battery-operated, low-cost, small form-factor portable readers.","The ThingMagic MEPICO is the industry's smallest embedded UHF RAIN RFID module, featuring a small SMT form factor, low power consumption, and wide RF output range. It is ideal for handheld devices, consumables authentication, device configuration, and access control.","The ThingMagic MEPICO UHF RAIN RFID Module is the smallest form factor Mercury Series embedded UHF RAIN RFID module. It features low power consumption, making it ideal for battery-operated, low-cost, small form-factor portable readers. The module supports a wide RF output range (0 dBm to 30 dBm) and is designed for efficiency in SMT manufacturing, driving down the total cost of embedding RFID in volume applications. It is suitable for handheld devices, consumables authentication, device configuration, and access control. The module is supported by the ThingMagic Mercury API and is preconfigured for multiple regions, including FCC (NA, SA), ETSI (EU), TRAI (India), KCC (Korea), ACMA (Australia), SRRC/MII (PR China), and MIC (Japan). The module offers physical board-edge connections for RF, DC power, communication, control, and GPIO signals, with UART and GPIO interfaces. It operates within a temperature range of -40°C to +85°C and survives a 1-meter drop handling. Certifications include USA FCC CFR Ch Part 15, Canada Industry Canada RSS-210, EU ETSI EN 302 208 v3.1.1, RED EU, and JAPAN MIC Article 2 Section 1."
Thinmanager Ready Pocket Size Edge Iot Thin Client,ESRP-CMS-U2271V2,Advantech,W 70 x D 70 x H 35 mm,Intel Celeron N3350,2,Not available,4 GB DDR3L 1600 MHz onboard,"2 x RJ45 10/100 Mbps, 2 x USB 3.1 Gen 1, 1 x HDMI",ThinManager BIOS enabled,"Operating Temperature: 0-50°C, Storage Temperature: -20-60°C, Relative Humidity: 10-90% non-condensing","CE, FCC, UL, CCC, BSMI","Advantech ThinManager Ready Pocket Size Edge IoT Thin Client with Intel Celeron N3350, dual-core, 4 GB DDR3L memory, and multiple I/O interfaces.","The Advantech ThinManager Ready Pocket Size Edge IoT Thin Client features an Intel Celeron N3350 dual-core processor, 4 GB DDR3L memory, and multiple I/O interfaces including 2 x RJ45 10/100 Mbps, 2 x USB 3.1 Gen 1, and 1 x HDMI. It is designed for industrial applications with robust environmental specifications and certifications including CE, FCC, UL, CCC, and BSMI.","Advantech ThinManager compatible industrial thin clients exclusively integrate ThinManager software for distributed applications. The thin clients display content delivered from a remote ThinManager server, with multiple thin clients set across a plant facility for various roles maintained by the ThinManager server. The ESRP-CMSU-V ThinManager Ready Pocket Size Edge IoT Thin Client features an Intel Celeron N3350 dual-core processor, 4 GB DDR3L 1600 MHz onboard memory, and multiple I/O interfaces including 2 x RJ45 10/100 Mbps, 2 x USB 3.1 Gen 1, and 1 x HDMI. It has a compact, robust, fanless, and cable-free system with a modular design. Environmental specifications include an operating temperature range of 0-50°C, storage temperature range of -20-60°C, and relative humidity of 10-90% non-condensing. The product is certified with CE, FCC, UL, CCC, and BSMI standards."
Tiger PC Plus Single Board Computer,VL-EPM-24EU,VersaLogic Corporation,"PC Plus compliant, 96 mm x 90 mm",Intel Atom Zxx,Not available,6W,Up to 2 GB DDR2 RAM,"Seven USB ports, Four serial ports, IDE interface, HD audio","Windows, Windows Embedded, Linux, VxWorks, QNX","Operating Temperature: -40°C to +85°C (industrial), 0°C to +60°C (commercial); Storage Temperature: -40°C to +85°C; Humidity: Less than 95% non-condensing; Vibration: MIL-STD-202G; Shock: MIL-STD-202G",MIL-STD-202G,"The Tiger PC Plus Single Board Computer features a high-performance Intel Atom Zxx processor, supports PC/104-Plus expansion modules, and is designed for rugged environments.","The Tiger PC Plus Single Board Computer features a high-performance Intel Atom Zxx processor, supports PC/104-Plus expansion modules, and is designed for rugged environments. It offers advanced 3D graphics, high-definition video decode, and gigabit Ethernet. The system is fanless and operates in industrial temperature ranges, making it suitable for industrial, energy, defense/aerospace, medical, and robotics markets.","The Tiger PC Plus Single Board Computer (SBC) features a high-performance Intel Atom Zxx processor and supports PC/104-Plus industry-standard form factor. It is designed for rugged environments with a combination of high performance (up to 1.6 GHz) and low power consumption (as low as 5W typical). The Tiger SBC supports advanced 3D graphics, high-definition video decode, and gigabit Ethernet with remote boot support. It includes up to 2 GB DDR2 RAM, seven USB ports, four serial ports, IDE interface, HD audio, and a Disk Module (DOM) socket for removable flash storage. The system operates fanlessly and is available in both commercial (0°C to +60°C) and industrial (-40°C to +85°C) temperature versions. It meets MIL-STD-202G specifications for shock and vibration and includes transient voltage suppression (TVS) devices for enhanced ESD protection. The Tiger SBC is compatible with various operating systems including Windows, Windows Embedded, Linux, VxWorks, and QNX. VersaLogic offers customization options and guarantees long-term availability for OEM applications."
Tinker Board S,PIS-0837,ASUS,Single Board Computer (SBC),Rockchip RK3288,4,Not available,2 GB LPDDR3,"HDMI, USB, LVDS, SPDIF, Audio, SPI, IC, UART, Bluetooth, microSD Slot, CSI, DSI",Not available,Low-voltage input detection,Not available,"ASUS Tinker Board S is a single board computer with a quad-core ARM-based processor, 2 GB LPDDR3 memory, and onboard 16 GB eMMC storage.","ASUS Tinker Board S is an improved single board computer offering greater durability, better stability, and an overall improved user experience. It features a quad-core ARM-based Rockchip RK3288 processor, 2 GB LPDDR3 dual-channel memory, and onboard 16 GB eMMC storage. The board supports next-generation graphics and GPU computing APIs, and includes HDMI CEC hardware for multimedia control. It also offers Gbit LAN, WiFi, Bluetooth, and various I/O interfaces.","ASUS introduces the successor to the legendary Tinker Board with the new and improved Tinker Board S. This single board computer (SBC) offers greater durability, better stability, and an overall improved user experience for DIY enthusiasts and makers everywhere. With a powerful modern quad-core ARM-based processor, the Rockchip RK3288, the Tinker Board S offers significantly improved performance versus popular SBC boards. To provide the flexibility needed for different builds and projects, the Tinker Board S features 2 GB LPDDR3 dual-channel memory and is equipped with onboard 16 GB eMMC storage and a microSD interface for significantly faster read and write speeds for OS, applications, and file storage. Featuring a powerful and energy-efficient design, the Tinker Board S supports next-generation graphics and GPU computing APIs. Powered by an ARM-based Mali-T764 GPU, the Tinker Board S's GPU and fixed-function processors allow for a wide range of uses, including high-quality media playback, gaming, computer vision, gesture recognition, image stabilization, processing, as well as computational photography. The Tinker Board S also features HDMI CEC hardware circuit implemented and supported by software, allowing multimedia enthusiasts to control TV outputs using a single remote control for a better entertainment experience. Other fixed functions include H.264 and H.265 playback support as well as HD and UHD video playback. The Tinker Board S also features Gbit LAN for Internet and network connectivity. A dedicated bus resource designed for the LAN port ensures consistent Ethernet performance. The integrated WiFi and Bluetooth controller on the Tinker Board S is shielded with a metal cover to ensure minimal interference and improved radio performance. An integrated IPEX antenna header allows for easy antenna replacement and upgrades. More durable onboard 16 GB eMMC storage enhances performance and stability, plus a microSD slot offers greater flexibility. Low-voltage input detection avoids power issues and ensures system stability when using a non-qualified power supply. Better user experience with HDMI-CEC-ready complete video entertainment allows users to command the Tinker Board S and TV with a single remote control. Audio jack plugin detection auto-switches 3.5 mm audio jack interfaces. Always moving forward for makers, the onboard power-on pin gives makers the freedom to bring their ideas to life. Enhanced I2S pin with Slave mode and improved software API offers better compatibility."
Tinker Edge R,TINKER EDGE T,Asus,100 x 72 mm,NXP i.MX 8M Quad-core ARM Cortex-A53,4,Not available,LPDDR4 4GB,"USB 3.2 Gen 1 Type-A, USB 3.2 Gen 1 Type-C OTG, Ethernet, HDMI, GPIO, SPI, I2C, UART, PWM, PCM/I2S",Mendel,"Operating Temperature: 0-50°C, Storage Temperature: -40-80°C, Relative Humidity: 10-90% non-condensing",Not available,Tinker Edge R is a single board computer with NXP i.MX 8M Quad-core SoC and Google Edge TPU.,"Tinker Edge R is a single board computer featuring an NXP i.MX 8M Quad-core ARM Cortex-A53 processor, Google Edge TPU ML accelerator, 4GB LPDDR4 memory, and 16GB eMMC storage. It supports multiple I/O interfaces including USB, Ethernet, HDMI, GPIO, and more. The board runs on the Mendel operating system and is designed for AI and ML applications.","Tinker Edge R is a high-performance single board computer designed for AI and ML applications. It is powered by an NXP i.MX 8M Quad-core ARM Cortex-A53 processor and features a Google Edge TPU ML accelerator for enhanced machine learning capabilities. The board includes 4GB of LPDDR4 memory and 16GB of onboard eMMC storage. It offers a variety of I/O interfaces such as USB 3.2 Gen 1 Type-A, USB 3.2 Gen 1 Type-C OTG, Ethernet, HDMI, GPIO, SPI, I2C, UART, PWM, and PCM/I2S. The Tinker Edge R runs on the Mendel operating system and supports a wide range of environmental conditions, making it suitable for various industrial and commercial applications."
Tomcat PCPlus Single Board Computer,VL-EPM-16E,VersaLogic Corporation,"PCPlus compliant, 96 mm x 90 mm",DMP VortexDX,1,1.6 W typical,Up to 512 MB soldered-on DDR2 SDRAM,"Two USB ports, Four serial ports, IDE, LPT, CompactFlash socket","Compatible with x86 operating systems including Windows, Windows Embedded, Linux, VxWorks, QNX","Operating Temperature: -40°C to +85°C, Storage Temperature: -40°C to +85°C, Humidity: Less than 95% non-condensing, Vibration: MIL-STD-202G, Shock: MIL-STD-202G","RoHS compliant, MIL-STD-202G","The Tomcat PCPlus Single Board Computer features an ultra-low power DMP VortexDX processor, fanless operation, and is designed for harsh environments.","The Tomcat PCPlus Single Board Computer, driven by a DMP VortexDX processor running at 800 MHz, offers ultra-low power consumption and fanless operation. It supports PCI and ISA stackable expansion boards and is ideal for size, weight, and power-constrained applications. With up to 512 MB soldered-on DDR2 RAM, multiple I/O interfaces, and compatibility with various x86 operating systems, it is designed for high reliability and long-term availability in harsh environments.","The Tomcat PCPlus Single Board Computer features an ultra-low power DMP VortexDX processor running at 800 MHz. It supports PCI and ISA stackable expansion boards and is well-suited for size, weight, and power-constrained applications. The board includes up to 512 MB of soldered-on DDR2 RAM, two USB ports, four serial ports, IDE, LPT interfaces, and a CompactFlash socket for removable flash storage. It operates fanlessly and meets MIL-STD-202G specifications for shock and vibration. The Tomcat is compatible with a variety of x86 operating systems, including Windows, Windows Embedded, Linux, VxWorks, and QNX. It is designed for high reliability and long-term availability, making it an excellent choice for harsh, mobile, and remote environments."
Touch Computer,UTC-620E-PE,UTC Retail,W 400 x H 300 x D 50 mm,Intel Core i5-4300U,2,15 W,8GB DDR3L 1600MHz,"2 x RS232 COM, 4 x USB 3.0, 2 x Gigabit Ethernet RJ45, 1 x VGA, 1 x HDMI/DP, 1 x Audio Line-out, 2 x Stereo Speaker 2W","Windows Embedded, Linux Ubuntu","Operating Temperature: 0-40°C (32-104°F), Relative Humidity: 10-90% non-condensing, Vibration: 1G, Shock: 10G peak acceleration (11 msec duration)","CE, FCC, UL, CB, CCC, BSMI","UTC Retail Touch Computer with Intel Core i5-4300U, 8GB RAM, 500GB HDD, and multiple I/O ports.","The UTC Retail Touch Computer features an Intel Core i5-4300U processor, 8GB DDR3L memory, and a 500GB HDD. It includes multiple I/O ports such as RS232 COM, USB 3.0, Gigabit Ethernet, VGA, HDMI/DP, and audio line-out. The system supports Windows Embedded and Linux Ubuntu operating systems and is certified with CE, FCC, UL, CB, CCC, and BSMI.","The UTC Retail Touch Computer is designed for self-service and interactive signage applications. It features an Intel Core i5-4300U processor, 8GB DDR3L memory, and a 500GB HDD. The system includes a variety of I/O ports, including RS232 COM, USB 3.0, Gigabit Ethernet, VGA, HDMI/DP, and audio line-out. It supports Windows Embedded and Linux Ubuntu operating systems. The device is built with a fanless design and an all-in-one aluminum extrusion, providing a natural viewing experience with a portrait screen mode. It also includes built-in peripherals such as a camera, MSR, NFC/RFID, and a barcode scanner. The system is certified with CE, FCC, UL, CB, CCC, and BSMI, and is compliant with RoHS standards."
Tower Computer Module,TWR1650-WINCE,Microsoft,Freescale Tower form factor 3.54 x 3.54 inches,ARM Cortex-A8,1,Not available,"128 MB DDR SDRAM, 128 MB SPI NOR flash, 1 GB NAND flash","Four USB ports, 10/100 BASE-T Ethernet, CAN port, Five serial ports, One SD/MMC card slot, 16-bit digital I/O","Linux, Windows CE, VxWorks, Android","Operating range: -40°C to 85°C, Storage: -40°C to 85°C, Relative humidity: 5% to 95% non-condensing",Not available,"The TWR iMX evaluation module features an ARM Cortex-A8 processor, 128 MB SDRAM, 1 GB Flash, and various I/O interfaces, suitable for industrial-grade applications.","The TWR iMX evaluation module boasts an ARM Cortex-A8 processor running at 800 MHz, 128 MB SDRAM, 1 GB Flash, and a variety of I/O interfaces including USB, Ethernet, CAN, and serial ports. It is designed for multimedia-rich applications in rugged environments, with support for multiple operating systems including Linux, Windows CE, VxWorks, and Android.","The TWR iMX evaluation module features an 800 MHz ARM Cortex-A8 CPU, 128 MB DDR SDRAM, 128 MB SPI NOR flash, and 1 GB NAND flash. It includes four USB ports, a 10/100 BASE-T Ethernet port, a CAN port, five serial ports, and one SD/MMC card slot. The module supports various operating systems such as Linux, Windows CE, VxWorks, and Android. It is designed for industrial-grade applications with an operating temperature range of -40°C to 85°C and relative humidity of 5% to 95% non-condensing. The TWR module is suitable for multimedia-rich applications in rugged environments and offers advanced power management features."
