name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
IMX PLUS HAILO AI KIT,SOLIDRUN,SINGLE BOARD COMPUTER,False,ARM,Quad-core,NXP,,Up to 4 GB LPDDR4,Up to 64 GB eMMC,12V,"['Dual Gigabit Ethernet, Dual USB 3.0, HDMI, MIPI-CSI']","Wi-Fi a/b/g/n/ac, Bluetooth 5.0","['Linux', 'Android']",85°C,-40°C,,"Cost-effective, industrial-grade AI kit with Hailo AI accelerator and flexible connectivity.","The iMX Plus Hailo AI Kit is a cost-effective, industrial-grade solution designed for AI applications. It features a Hailo AI accelerator, quad-core ARM Cortex-A processor, and flexible connectivity options including dual Gigabit Ethernet and USB 3.0 ports.","The iMX Plus Hailo AI Kit by SolidRun is an industrial-grade single board computer designed for AI applications. It features a quad-core ARM Cortex-A processor, Hailo AI accelerator, and up to 4 GB of LPDDR4 memory. The board supports dual Gigabit Ethernet, dual USB 3.0 ports, HDMI, and MIPI-CSI interfaces. It is capable of operating in harsh environmental conditions with a temperature range from -40°C to 85°C.","['Optical Character Recognition', 'Image Classification', 'Traffic Monitoring', 'Facial Recognition']"
POWERBRICK SLIM,ACURA EMBEDDED SYSTEMS INC,DIN RAIL MOUNTABLE,False,x86,Quad-core,INTEL,,Max 32 GB DDR3,"SATA III SSD, Removable, RAID support",DC 9-36V,"['2 x HDMI', '1 x VGA', '4 x Intel I210-AT LAN', '4 x USB 3.0', '2 x USB 2.0', '4 x COM RS232/422/485', 'Wi-Fi', 'Bluetooth', '4G/LTE', '1 x Line Out', '1 x Mic In']","Wi-Fi, Bluetooth, 4G/LTE",Windows or Linux,60°C,-25°C,"['CE', 'FCC Class A', 'RoHS', 'ISO Certified']",HighPower Fanless Industrial PC with customizable features and rugged design.,"The PowerBrick Slim is a rugged, fanless industrial PC designed for high performance and reliability. It features a quad-core Intel processor, removable SATA III SSD with RAID support, and up to 32 GB DDR3 memory. It supports multiple I/O interfaces including HDMI, VGA, LAN, USB, and COM ports, and offers wireless connectivity options such as Wi-Fi, Bluetooth, and 4G/LTE. The system is DIN rail mountable and operates in a wide temperature range, making it suitable for various industrial applications.","The PowerBrick Slim by Acura Embedded Systems Inc is a high-performance, fanless industrial PC designed for rugged environments. It is equipped with a quad-core Intel processor and supports up to 32 GB of DDR3 memory. The system includes a removable SATA III SSD with RAID support, providing flexible storage options. It offers extensive connectivity with multiple HDMI, VGA, LAN, USB, and COM ports, as well as wireless options like Wi-Fi, Bluetooth, and 4G/LTE. The PowerBrick Slim is DIN rail mountable and constructed from durable aluminum alloy, ensuring reliability in harsh conditions. It is certified with CE, FCC Class A, RoHS, and ISO standards, and operates within a temperature range of -25°C to 60°C.","Industrial automation, transportation, and other rugged applications requiring reliable computing power."
EMETXAM,ARBOR TECHNOLOGY,ETX,True,ARMv8,4,AMD,,DDR3 SODIMM socket supporting up to 8GB,Soldered onboard eMMC 5.0 up to 32GB,5V,"['12 USB ports, 2 UART ports, 8 PCIex1 lanes, I2C Interface, 8-bit Digital Input/Output']",,"['Windows', 'Linux']",60°C,-40°C,,"ETX CPU module with AMD G-Series processor, supporting dual channels LVDS and extended temperature range.","The EMETXAM is an ETX CPU module featuring an AMD G-Series processor, dual channels LVDS, and extended operating temperature range, suitable for evaluation purposes.","The EMETXAM module includes a soldered onboard AMD G-Series processor, dual channels 24-bit LVDS, analog RGB, DDI port, and supports DDR3 SODIMM up to 8GB. It operates within a temperature range of -40°C to 60°C and requires a 5V input voltage.","Industrial automation, embedded systems, evaluation and development platforms."
HITWH HEALTHCARE INFORMATION TERMINAL,ADVANTECH,ALL-IN-ONE,False,X86,,INTEL,,4GB DDR3,320GB HDD,100-240VAC,"['USB 2.0 x 4', 'USB 3.0 x 2', 'Smart Card Reader', 'RFID', 'Microphone', 'COM Port Isolated', 'Audio Speaker', 'LAN RJ45', 'Optional WLAN 802.11abgn', 'Bluetooth BT4.0']","['Wi-Fi 802.11abgn', 'Bluetooth BT4.0']","['Windows 7', 'Windows Embedded Standard 7', 'Windows Embedded Standard 8', 'Linux Fedora', 'Ubuntu']",40°C,0°C,"['CE', 'FCC', 'CB', 'ITE', 'UL', 'EN60601-1', 'EN60601-1-2']","High-performance, low-power all-in-one healthcare terminal with Intel Haswell processor, isolated I/O, and medical certifications.","The HITWH Healthcare Information Terminal is a high-performance, low-power all-in-one computer designed for healthcare and hospitality applications. It features an Intel Haswell Core iU processor, isolated I/O, and a true flat touch screen for easy cleaning. The terminal supports Windows and Linux operating systems and is equipped with RFID and Smart Card Reader modules for authentication.","The HITWH Healthcare Information Terminal is powered by an Intel Haswell Core iU processor, offering high performance and low power consumption. It features a slim, stylish industrial design with a true flat touch screen that is easy to clean and IP compliant. The terminal supports a variety of I/O options including isolated COM and LAN ports, USB, and audio interfaces. It is equipped with a 4GB DDR3 memory and a 320GB HDD, with optional SSD storage. The terminal is ideal for use in hospitals for nurse calls, control panels, and bedside information terminals, and supports both Windows and Linux operating systems.","['Healthcare', 'Hospitality', 'Nurse call systems', 'Control panels', 'Bedside information terminals']"
EMETXEI,ARBOR TECHNOLOGY,COM EXPRESS,True,Performance hybrid architecture,Up to 14,INTEL,15W,2 GB DDR2 SDRAM,Soldered onboard eMMC 5.0 up to 32GB (OEM Request),12V,"['6 USB ports, 4 PCIe x1 lanes, 1 PCIe x4 lane, 2 Serial ATA ports']",Subject to 6 GHz band availability,"Windows 8.1 64-bit, Windows 10 64-bit, Linux: Ubuntu",60°C,-40°C,,Intel Atom N/D COM Express Basic Type CPU Module with fanless design and dual independent display support.,"The EmETXei is a COM Express Basic Type CPU Module featuring an Intel Atom N/D processor, integrated Gigabit Ethernet, fanless design, and support for dual independent displays.","The EmETXei module integrates an Intel Atom N/D processor with soldered onboard 2GB DDR2 SDRAM. It supports both LVDS and analog RGB output, dual independent displays, and features a range of I/O interfaces including USB, PCIe, and SATA. The module is designed for extended operating temperatures and includes an Intel ICHM chipset.","Industrial automation, embedded systems, and evaluation purposes."
REVPI CONNECT,KUNBUS,DIN RAIL,False,ARM,4,BROADCOM,,1 GB LPDDR4,32 GB,24 V DC,"['2 x USB 2.0', '2 x RJ45 GBit Ethernet', '1 x RS485 screw-type terminal', '1 x MicroUSB', '1 x MicroHDMI', '2 x PiBridge connectors', '1 x RPSMA socket']","['Wi-Fi IEEE 802.11b/g/n/ac', 'Bluetooth BLE']",,55 C,-20 C,"['CE', 'UKCA']","RevPi Connect is a robust industrial computer with ARM Cortex-A architecture, suitable for DIN rail mounting.","RevPi Connect by KUNBUS is an industrial-grade computer designed for DIN rail mounting, featuring a Broadcom BCM quad-core ARM Cortex-A processor, 1 GB LPDDR4 RAM, and extensive I/O capabilities including USB, Ethernet, RS485, and wireless connectivity.","The RevPi Connect is engineered for industrial environments, offering a robust solution with a Broadcom BCM quad-core ARM Cortex-A processor, passive cooling, and a variety of interfaces such as USB, Ethernet, and RS485. It supports wireless communication through Wi-Fi and Bluetooth BLE, and is compliant with CE and UKCA standards.","['Industrial automation', 'IoT applications', 'Data acquisition', 'Process control']"
SOM SMARC MODULE,ADVANTECH,SMARC,False,x86,4,INTEL,6W,8GB LPDDR4,64GB eMMC,12V,['Not Available'],"['Wi-Fi', 'Bluetooth']",['Windows 10 IoT Enterprise'],85°C,-40°C,,"Intel Atom, Pentium, Celeron N Series SMARC Module with dual GbE, wireless, and triple display support.","The SOM SMARC Module features Intel Atom, Pentium, and Celeron N Series processors, dual GbE, integrated wireless module, dual channel LPDDR4 memory, onboard eMMC storage, and supports triple display outputs including DP, HDMI, and LVDS.","The SOM SMARC Module is designed for industrial applications, featuring Intel Atom, Pentium, and Celeron N Series processors. It includes dual GbE, integrated wireless capabilities, dual channel LPDDR4 memory, onboard eMMC storage, and supports triple display outputs. The module is compliant with SMARC standards and offers a range of expansion options including PCIe, USB, and more.","['Industrial Automation', 'Embedded Systems', 'IoT Devices']"
UNOG,ADVANTECH,SMALL SIZE,False,X86,4,INTEL,11.5 Watt,8 GB DDR3L,"1 x mSATA, 1 x SATA HDD",12 VDC,"['4 x USB', '4 x RS-232/422/485', '2 x HDMI', '2 x DisplayPort', '2 x LAN']","Wi-Fi, Bluetooth","['Windows 10 IoT Enterprise', 'Advantech Linux']",60 C,-20 C,"['CE', 'FCC', 'UL', 'CCC', 'BSMI']","A modular, fanless industrial IoT gateway with Intel Atom/Celeron processors.","Advantech's UNOG series offers a highly ruggedized, modular design with Intel Atom and Celeron processors, supporting a range of industrial applications with flexible I/O and expansion capabilities.","The UNOG series is a compact, fanless industrial IoT gateway featuring Intel Atom and Celeron processors. It supports up to 8 GB DDR3L memory, multiple I/O interfaces including USB, RS-232/422/485, HDMI, and DisplayPort, and offers expansion through mPCIe slots. The device is designed for harsh environments with a wide operating temperature range and robust certifications.","['Industrial automation', 'IoT gateways', 'Edge computing']"
AIMB,ADVANTECH,MINI-ITX,False,X86,4,AMD,15W,Up to 32GB DDR4 SDRAM,CFast,12V DC,"['COM, USB, HDMI, DVI-D, DP, Ethernet']",Mini-PCIe slot available for wireless functionality,"['Windows 10', 'Linux']",60°C,0°C,['RoHS COMPLIANT'],Industrial motherboard supporting AMD processors with multiple display and expansion options.,"The AIMB series industrial motherboards support AMD Merlin Falcon processors, offering quad-core performance, multiple display outputs including HDMI, DVI-D, and DP, and extensive I/O options for industrial applications.","The AIMB series by Advantech is designed for industrial applications, featuring AMD Merlin Falcon processors with quad-core capabilities, support for up to 32GB DDR4 memory, and a variety of I/O interfaces including COM, USB, HDMI, and Ethernet. It supports multiple display outputs and expansion slots for PCIe and MiniPCIe, making it versatile for various industrial needs.","['Industrial Automation', 'Digital Signage', 'Embedded Systems']"
COM EXPRESS COMPACT MODULE,ADVANTECH,COM EXPRESS,False,x86,4,INTEL,15W,32GB DDR3L,"Onboard flash (Optional, MLC up to 64GB, SLC up to 32GB)",12V,"['4 USB Ports', '2 SATA Ports', '1 PCIe x16', '1 PCIe x1']","Wi-Fi, 3G, and Bluetooth modules","['Windows Embedded Standard', 'Linux Ubuntu']",60°C,-40°C,"Certifying Wi-Fi, 3G, and Bluetooth modules","Compact module with Intel Core i3/i5/i7 and Celeron processors, supporting dual-channel DDR3L memory and multiple display outputs.","The COM Express Compact Module features Intel's 6th Gen Core i3/i5/i7 and Celeron processors, offering robust performance for embedded applications. It supports dual-channel DDR3L memory up to 32GB, multiple display interfaces including VGA, LVDS, HDMI, and DisplayPort, and a variety of I/O options.","This module is designed for high-performance embedded applications, featuring Intel's 6th Gen processors. It supports up to 32GB of DDR3L memory, multiple display outputs, and a range of I/O interfaces including USB, SATA, and PCIe. The module is suitable for harsh environments with an operating temperature range of -40°C to 60°C.","['Industrial Automation', 'Digital Signage', 'Medical Devices', 'Transportation']"
ASMBA,ADVANTECH,Proprietary,False,x86,14 cores,INTEL,125W,"DDR4, ECC/Non-ECC, 2933 MHz, UDIMM, Max 128GB",Eight SATA 3 and one M.2 connectors (SATA/PCIe compatible),12V,"['6 x SATA ports', '8 x USB ports', 'Quad LAN']",802.11 a/b/g/n/ac+BT5.0,"['Windows 10 64-bit', 'Server 2019 64-bit']",60°C,0°C,CE/FCC,"Proprietary server board with Intel Xeon W processor support, DDR4 memory, and extensive I/O options.","The ASMBA is a proprietary server board designed for Intel Xeon W processors, featuring DDR4 ECC/Non-ECC memory support, multiple PCIe slots, and comprehensive I/O including SATA, USB, and Quad LAN.","The ASMBA server board supports Intel Xeon W processors and is equipped with DDR4 ECC/Non-ECC memory slots, offering a maximum capacity of 128GB. It includes multiple PCIe slots for expansion, six SATA ports for storage, and eight USB ports for connectivity. The board also features Quad LAN for networking and supports various operating systems including Windows 10 and Server 2019.","['Data centers', 'High-performance computing', 'Enterprise servers']"
AIMB-DSAE,ADVANTECH,MINI-ITX,False,X86,QUAD CORE,INTEL,65W / 35W,8 GB DDR3L 1600 MHz SDRAM,1x M.2 (B Key) with SIM card holder for LTE and SATA modules,12V DC,"['2 x COM', '4 x USB 3.0', '2 x USB 2.0', '2 x GbE LAN', '1 x HDMI', '1 x DVI-D', '1 x DP']",1x M.2 (E key) for Wi-Fi and Bluetooth module,"['Windows 10', 'Windows Embedded Standard 7']",60°C,0°C,RoHS,Mini-ITX industrial motherboard with Intel Quad Core processor and multiple I/O interfaces.,"The AIMB-DSAE is a Mini-ITX industrial motherboard featuring Intel Quad Core processors, supporting dual-channel DDR3L memory, and offering a variety of I/O interfaces including HDMI, DVI-D, DP, and multiple USB and COM ports.","The AIMB-DSAE motherboard by Advantech is designed for industrial applications, offering robust performance with Intel Quad Core processors. It supports up to 8 GB of DDR3L 1600 MHz SDRAM, and provides extensive connectivity options including dual GbE LAN, HDMI, DVI-D, DP, and multiple USB and COM ports. The board is suitable for environments with operating temperatures ranging from 0°C to 60°C.","['Industrial Automation', 'Embedded Systems', 'Digital Signage']"
UNOG,ADVANTECH,REGULAR SIZE,False,x86,8,INTEL,45 Watt,8 GB DDR4,"One mSATA slot, Two drive bay SATA SSD/HDD",12 VDC,"['Multiple I/O Peripheral, 4 x RS232/422/485, 4 x USB 3.0, 4 x GbE']","['Wi-Fi', 'Bluetooth', 'GPS']","['Microsoft Windows', 'Advantech Linux']",60 C,-20 C,"['CE', 'FCC', 'UL', 'CCC', 'BSMI']","Industrial IoT Gateway with Intel Core processor, modular design, and iDoor technology.","The UNOG series is a ruggedized, fanless industrial IoT gateway featuring Intel Core processors, modular design, and iDoor technology for flexible application support.","Advantech's UNOG series offers a highly ruggedized, fanless embedded automation computer with modular designs for flexible time-to-market support. It includes iDoor technology for automation feature-extensions and multiple I/O peripherals, supporting industrial fieldbus and smart I/O communication.","['Smart Factory Applications', 'Equipment Connectivity', 'Process Visualization', 'Environment Management', 'Dispatch Management']"
PCM A,ADVANTECH,SINGLE BOARD COMPUTER,False,X86,16 cores,AMD,28W (passive cooled),"DDR 333 MHz, Max Capacity 1 GB",CompactFlash Type III,"5V, 12V option","['2x COM ports', '4x USB ports', '2x Ethernet ports', '1x VGA', '1x IDE', '1x LPT', '1x GPIO']","Wi-Fi, Bluetooth","['WinCE', 'Win XPE', 'VxWorks']",60°C,0°C,CB/UL/BSMI/CCC,"Embedded SBC with AMD Geode LX processor, dual Ethernet, and multiple I/O options.","The PCM A is an embedded single board computer featuring an AMD Geode LX processor, offering low power consumption and a variety of I/O interfaces including dual Ethernet, USB, and COM ports. It supports multiple operating systems and is suitable for industrial applications.","The PCM A SBC is designed for industrial applications, equipped with an AMD Geode LX processor and supporting DDR memory up to 1 GB. It features dual 10/100 Mbps Ethernet ports, multiple COM and USB ports, and supports CompactFlash storage. The board is capable of operating in temperatures ranging from 0°C to 60°C, making it ideal for various environments.","['Industrial automation', 'Embedded systems', 'Networking']"
PCM,ADVANTECH,Single Board Computer,False,x86,Quad-Core,INTEL,6W,4GB DDR3L,eMMC up to 64GB,12V,"['Multiple USB, SATA, Ethernet, VGA, HDMI, RS232']",Dual mini-PCIe for WIFI/3G support,"['Windows Embedded', 'Linux', 'VxWorks', 'Android Kit Kat']",60°C,-20°C,"CE/FCC Class A, CCC, BSMI, UL, CB, EN50121-3-2, EN50121-4, MIL-STD 810G","Embedded SBC with Intel Atom and Celeron processors, rich I/O, and multiple display support.","The PCM series offers embedded single board computers featuring Intel Atom and Celeron processors, supporting multiple display outputs including VGA, LVDS, and HDMI, with extensive I/O options and expansion capabilities.","PCM series SBCs are designed for embedded applications, equipped with Intel Atom E and Celeron N processors, supporting DDR3L memory, and offering a range of I/O interfaces including USB, SATA, Ethernet, and more. They are suitable for industrial environments with a wide operating temperature range.","['Industrial Automation', 'Embedded Systems', 'Digital Signage', 'IoT Applications']"
AIMB-275,ADVANTECH,MINI-ITX,False,x86,4,INTEL,35W,Up to 32GB DDR3L 1600MHz SDRAM,mSATA supported,ATX,"['Multiple USB, SATA, Ethernet, HDMI, DisplayPort, LVDS']",3G supported,"['WES7', 'WE8S']",60°C,0°C,RoHS COMPLIANT 2002/95/EC,Mini-ITX motherboard supporting Intel 6th Gen Core processors with multiple display outputs and extensive I/O options.,"The AIMB-275 is a Mini-ITX industrial motherboard designed for Intel 6th Gen Core processors, featuring dual-channel DDR3L memory, multiple display outputs including VGA, HDMI, and DisplayPort, and extensive I/O options including USB, SATA, and Ethernet.","The AIMB-275 motherboard supports Intel 6th Gen Core processors and offers a compact Mini-ITX form factor. It features dual-channel DDR3L memory up to 32GB, multiple display outputs such as VGA, HDMI, and DisplayPort, and a variety of I/O interfaces including USB, SATA, and Ethernet. The board is suitable for industrial applications requiring robust performance and connectivity.","['Industrial Automation', 'Digital Signage', 'Kiosk Systems']"
MIOCPQA,ADVANTECH,PICO-ITX,False,X86,Quad/Dual,INTEL,15W,LPDDR4X 32GB,eMMC 64/128GB,12V,"['Ethernet x2, USB x4, COM Port x2, SATA x2']",Supports wireless module via M.2 E-Key,"['Windows 10', 'Ubuntu 20.04', 'Yocto']",60°C,-40°C,"['EMC', 'CE', 'FCC Class B']","Pico-ITX SBC with Intel Core processors, dual display support, and extensive I/O options.","The MIOCPQA is a Pico-ITX single board computer featuring Intel's 11th Gen Core processors, supporting dual independent displays and a variety of I/O interfaces including Ethernet, USB, and COM ports. It is designed for industrial applications with extended temperature ranges.","The MIOCPQA Pico-ITX SBC is powered by Intel's 11th Gen Core processors, offering quad and dual-core options with a TDP of 15W. It supports up to 32GB of LPDDR4X memory and features integrated Intel Iris Xe Graphics. The board includes dual Ethernet ports, multiple USB and COM ports, and supports dual independent displays via eDP, HDMI, and DP interfaces. It is suitable for industrial environments with an operating temperature range from -40°C to 60°C.","['Industrial Automation', 'Embedded Systems', 'Edge Computing']"
SOM,ADVANTECH,COM EXPRESS BASIC MODULE,False,x86,Quad/Dual,INTEL,45W,Up to 64GB DDR4 ECC optional,Up to 64GB eMMC,12V,"['PCIe, USB, SATA, Ethernet']",,['Windows 10 IoT Enterprise'],85°C,-40°C,,"COM Express Basic Module with Intel Xeon/Core processors, supporting up to 64GB DDR4 ECC memory.","The SOM is a COM Express Basic Module featuring Intel Xeon/Core processors, dual channel DDR4 memory with ECC support, and flexible I/O options including PCIe, USB, and SATA.","The SOM COM Express Basic Module is designed for high-performance computing with Intel's latest Xeon/Core processors. It supports up to 64GB of DDR4 memory with optional ECC, and offers a range of I/O interfaces including PCIe, USB, and SATA. The module is suitable for industrial applications requiring robust performance and reliability.","['Industrial Computing', 'Embedded Systems', 'High-Performance Computing']"
PISGP,ADLINK TECHNOLOGY INC,Fanless PC,False,x86,Quad-core,INTEL,35W,8 GB DDR4,"Two SATA bays, CFast slot",9-36 VDC,"['4x USB Type A ports', '2x DisplayPorts', '1x DVII port', '4x RJ45 GbE ports', '2x RS232 ports']","['WLAN support via Mini PCIe slots', 'GNSS support']","['Windows 10', 'Ubuntu']",70°C,-40°C,"['EN 50155', 'EN 50121-3-2', 'EN 45545-2']","High-performance fanless PC with Intel Core processor and NVIDIA GPU, suitable for railway applications.","The PISGP is a fanless PC designed for high-performance applications, featuring Intel Core processors and NVIDIA GPU support. It offers extensive connectivity options, including multiple Ethernet ports, USB ports, and wireless capabilities, making it ideal for railway and industrial environments.","The PISGP series from ADLINK Technology is a robust fanless PC equipped with Intel Core i7 processors and optional NVIDIA GPU support. It supports dual-channel DDR4 memory and offers rich storage options with SATA and CFast slots. The system is designed for harsh environments, compliant with EN standards, and supports a wide range of operating temperatures. Connectivity options include multiple GbE ports, USB ports, and wireless modules via Mini PCIe slots.","['Railway systems', 'Industrial automation', 'Transportation']"
ASMB-VA0,ADVANTECH,Proprietary,False,x86,,INTEL,125W,DDR4 ECC/Non-ECC 3200MHz UDIMM,64G eMMC,12V,"['6 SATA ports', '8 USB ports', 'Quad LAN']","Wi-Fi, LTE",Windows,60°C,0°C,"C1D2, ATEX, IECEx, Microsoft Azure IoT Edge, Amazon AWS IoT Greengrass",Proprietary server board supporting Intel 10th Gen Core processors with extensive I/O and expansion capabilities.,"The ASMB-VA0 is a proprietary server board designed for Intel 10th Gen Core processors, featuring a robust set of I/O options including quad LAN, multiple USB and SATA ports, and support for DDR4 ECC/Non-ECC memory.","The ASMB-VA0 server board by Advantech is engineered for high-performance computing applications, equipped with Intel's 10th Gen Core processors and the Intel W480 chipset. It supports up to 128GB of DDR4 ECC/Non-ECC memory across four DIMM slots. The board includes six SATA ports, eight USB ports, and quad LAN for versatile connectivity. Expansion is facilitated through multiple PCIe slots, and the board is designed to operate within a temperature range of 0°C to 60°C.","['High-performance computing', 'Data centers', 'Enterprise servers']"
WAFERBT,IEI,Single Board Computer,False,x86,Quad-core,Intel,10W,One 204-pin 1333 MHz single-channel DDR3L SODIMM slot supports up to 8GB,mSATA,12V DC,"['2 x RS-232', '4 x USB 2.0', '2 x USB 3.0', '2 x SATA 3.0', '2 x GbE LAN']",Support for Wi-Fi or LTE modules,"['Windows', 'Linux']",60°C,0°C,"['CE', 'FCC']","The WAFERBT is a compact single board computer featuring Intel Atom/Celeron processors, dual independent display support, and extensive I/O options.","The WAFERBT series offers a range of SBCs powered by Intel Atom and Celeron processors, supporting dual independent displays, multiple I/O interfaces, and mSATA storage, ideal for industrial applications.","The WAFERBT series SBCs are designed for industrial applications, featuring Intel Atom and Celeron processors with up to quad-core configurations. They support dual independent displays via VGA, LVDS, and iDP interfaces, and offer a variety of I/O options including USB, SATA, and PCIe. The boards are compliant with CE and FCC standards and support operating temperatures from 0°C to 60°C.","['Industrial automation', 'Digital signage', 'Kiosks', 'Embedded systems']"
ASMB,ADVANTECH,ATX,False,ARM,,INTEL,95W,"DDR4 2666MHz ECC/Non-ECC UDIMM, Max 128GB",SATA III,+12V/+5V/+3.3V/+5Vsb/-12V/12V_8P,"['PCIe x16, PCIe x8, PCIe x4, USB 3.0, USB 2.0, Dual GbE LAN']",,Windows,60°C,0°C,CE/FCC,"Industrial server motherboard with Intel Xeon support, ATX form factor, and extensive I/O options.","The ASMB is an industrial server motherboard designed for Intel Xeon E v3/v4 processors, featuring an ATX form factor, dual-channel DDR4 memory support up to 128GB, and a variety of expansion slots including PCIe and PCI. It is optimized for rackmount applications with positive airflow design.","The ASMB motherboard supports Intel Xeon E v3/v4 processors with a TDP of 95W, offering robust performance for industrial applications. It features an ATX form factor, dual-channel DDR4 ECC/Non-ECC memory support up to 128GB, and multiple PCIe slots for expansion. The board includes dual GbE LAN, USB 3.0, and USB 2.0 ports, making it suitable for a wide range of industrial and server applications. Additional features include Intel vPro, AMT, and optional IPMI for remote management.","Industrial servers, data centers, and high-performance computing environments."
HITWC,ADVANTECH,ALL-IN-ONE,False,ARM,Quad Core,FREESCALE,,1 GB DDR3,8 GB eMMC NAND Flash,12 V,"['1 x MP Web Camera', '1 x Microphone', '1 x Speaker', '2 x USB', '1 x Mini USB', '1 x RJ45', '1 x Micro SD slot', '1 x DC-in Jack', '1 x Reset button']","['Wi-Fi 802.11 b/g/n', 'Bluetooth 4.0']","['Android', 'Linux']",40°C,0°C,RoHS COMPLIANT,"HITWC is an all-in-one infotainment terminal for healthcare with Freescale iMX A Quad Core, supporting Android OS, PoE, and equipped with DeviceOn/iService software.","The HITWC is a healthcare and hospitality information terminal featuring a Freescale iMX A Quad Core processor, projective capacitive multitouch screen, and supports Android operating systems. It includes DeviceOn/iService software for remote management and is ideal for applications like nurse calls and bedside information terminals.","The HITWC is an all-in-one infotainment terminal designed for healthcare environments. It features a Freescale iMX A Quad Core processor, 1 GB DDR3 memory, and 8 GB eMMC NAND Flash storage. The device supports Android and Linux operating systems and includes a projective capacitive multitouch screen. It is equipped with DeviceOn/iService software for remote device management, supports Power-over-Ethernet, and includes various I/O interfaces such as USB, RJ45, and a micro SD slot. The terminal is RoHS compliant and designed for use in environments with operating temperatures between 0°C and 40°C.","['Healthcare', 'Hospitality', 'Nurse calls', 'Bedside information terminals']"
SOM,ADVANTECH,COM EXPRESS MINI,True,X86,4,INTEL,6W,"LPDDR4, Up to 16GB","eMMC, Up to 64GB",12V,"['Multiple I/Os including PCIe4, USB3.2, and 10GBase-KR']","TSN, UFS, Wireless","['Windows', 'Linux']",60°C,-40°C,IPC-A-610G Class 3,Compact COM Express Mini module with Intel Elkhart Lake processors.,"The SOM is a COM Express Mini module featuring Intel's Elkhart Lake processors, supporting dual-channel LPDDR4 memory and onboard eMMC storage, suitable for embedded applications.","The SOM module is designed for embedded applications, offering a compact form factor with Intel Elkhart Lake processors. It supports dual-channel LPDDR4 memory up to 16GB, onboard eMMC storage up to 64GB, and a variety of display interfaces including LVDS and eDP. The module is suitable for industrial environments with an operating temperature range from -40°C to 60°C.","['Industrial Automation', 'IoT', 'Embedded Systems']"
SOLIDPC Q,SOLIDRUN LTD,SINGLE-BOARD COMPUTER,False,X86,Quad Core,INTEL,,Up to 8GB DDR3,"eMMC, M.2 SSD Connector",12V,"['DisplayPort, HDMI, USB Host, UART Headers']","WiFi, Bluetooth","Windows, Linux, Android",70C,0C,,"SolidPC Q is a feature-rich single-board computer based on Intel's Braswell family, supporting up to 8GB memory and various connectivity options.","The SolidPC Q is a single-board computer designed for robust computing solutions, featuring Intel's Braswell processors, up to 8GB of DDR3 memory, and a variety of connectivity options including DisplayPort, HDMI, and USB. It supports multiple operating systems such as Windows, Linux, and Android.","The SolidPC Q by SolidRun Ltd is a versatile single-board computer that simplifies the development process with its Intel Braswell processors. It offers up to 8GB of DDR3 memory, eMMC and M.2 SSD storage options, and a range of I/O interfaces including DisplayPort, HDMI, and USB. The device supports Windows, Linux, and Android operating systems, making it suitable for various applications.","OEMs, IoT, Embedded Systems"
QSEVEN STANDARD MODULE,SECO,Qseven,False,x86,4,INTEL,10W,8GB Dual-Channel DDR3L 1333MHz,Optional SATA Flash Drive soldered onboard,12VDC,"['Multiple USB, PCIe, SATA, Ethernet, Audio, Serial Ports']",,"['Microsoft Windows 10', 'Microsoft Windows 8.1', 'Microsoft Windows 7', 'Microsoft Windows IoT', 'Microsoft Windows Embedded Standard 7', 'Microsoft Windows Embedded Compact', 'Linux 64-bit', 'Yocto']",85°C,-40°C,,"Qseven standard module with Intel Atom and Celeron processors, suitable for industrial applications.","The Qseven standard module by SECO features Intel Atom and Celeron processors, integrated Intel HD Graphics, dual-channel DDR3L memory, and a variety of I/O interfaces, designed for industrial automation and medical devices.","SECO's Qseven standard module offers a range of Intel Atom and Celeron processors, supporting up to quad-core configurations with integrated Intel HD Graphics. It includes dual-channel DDR3L memory, multiple USB, PCIe, SATA, Ethernet, and audio interfaces. The module supports various operating systems including Windows and Linux, and is designed for industrial and medical applications with an operating temperature range from -40°C to 85°C.","['Biomedical', 'Medical devices', 'HMI', 'Industrial Automation', 'Control', 'Measuring Instruments']"
